sentence_number	batch_bertscore	prompt_bertscore	temp_bertscore	bertscore_f1	batch_chrf	prompt_chrf	temp_chrf	CHRF	batch_comet	prompt_comet	temp_comet	COMET
91	1.0	prompt3	0.15	1.000000238418579	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9849644899368286
92	1.0	prompt3	0.15	0.9999998807907104	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9811449646949768
93	1.0	prompt3	0.15	0.9999997615814208	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9859870076179504
94	1.0	prompt3	0.15	1.0000001192092896	1.0	prompt3	0.15	100.0	5.0	prompt3	0.45	0.9899653792381288
95	1.0	prompt4	0.6	0.8849140405654907	1.0	prompt4	0.6	69.78557641800109	1.0	prompt4	0.6	0.9127894043922424
96	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9943715929985046
97	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	5.0	prompt3	0.45	0.9846649765968324
98	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9818198084831238
99	4.0	prompt4	0.15	0.8754589557647705	5.0	prompt1	0.6	67.78895768181434	2.0	prompt0	0.75	0.9002458453178406
100	1.0	prompt3	0.15	1.0000001192092896	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9847012758255005
101	3.0	prompt2	0.45	0.8796176910400391	5.0	prompt1	0.6	66.8573254640121	4.0	prompt1	0.75	0.9126322865486144
102	1.0	prompt3	0.6	0.9999998807907104	1.0	prompt3	0.6	100.0	1.0	prompt3	0.6	0.9904242157936096
103	1.0	prompt3	0.6	1.000000238418579	1.0	prompt3	0.6	100.0	1.0	prompt3	0.6	0.9887333512306213
104	1.0	prompt2	0.0	0.9999999403953552	1.0	prompt2	0.0	100.0	1.0	prompt2	0.0	0.9896733164787292
105	1.0	prompt4	0.6	0.8849140405654907	1.0	prompt4	0.6	69.78557641800109	1.0	prompt4	0.6	0.9127894043922424
106	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9943715929985046
107	2.0	prompt1	0.6	0.8984490036964417	1.0	prompt3	0.15	75.34617117343416	1.0	prompt3	0.15	0.927558958530426
108	1.0	prompt0	0.75	0.9909854531288148	1.0	prompt0	0.75	93.61812152971667	1.0	prompt0	0.75	0.9583224654197693
109	1.0	prompt3	0.6	0.9313879013061525	1.0	prompt3	0.6	76.09599193509287	5.0	prompt4	0.6	0.9570062756538392
110	5.0	prompt2	0.75	1.0	5.0	prompt2	0.75	100.0	5.0	prompt2	0.75	0.9777975678443908
111	1.0	prompt4	0.6	0.8849140405654907	1.0	prompt4	0.6	69.78557641800109	1.0	prompt4	0.6	0.9127894043922424
112	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9943715929985046
113	2.0	prompt4	0.6	0.9688358902931212	2.0	prompt4	0.6	92.6211847234804	2.0	prompt4	0.6	0.9399667382240297
114	1.0	prompt3	0.15	0.9835214018821716	1.0	prompt3	0.15	94.45281019937777	1.0	prompt3	0.15	0.9614576697349548
115	1.0	prompt2	0.0	0.7776210308074951	1.0	prompt2	0.0	33.50741407316266	1.0	prompt1	0.75	0.5904695391654968
116	5.0	prompt3	0.75	0.9574005007743835	5.0	prompt3	0.75	89.68207768337588	5.0	prompt3	0.75	0.9670370817184448
117	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9814565777778625
118	1.0	prompt4	0.75	1.0000001192092896	1.0	prompt4	0.75	100.0	1.0	prompt4	0.75	0.9751287698745728
119	1.0	prompt4	0.6	0.8849140405654907	1.0	prompt4	0.6	69.78557641800109	1.0	prompt4	0.6	0.9127894043922424
120	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9943715929985046
121	4.0	prompt4	0.75	0.9532436728477478	4.0	prompt4	0.75	76.14631898485429	4.0	prompt4	0.75	0.908872127532959
122	1.0	prompt0	0.6	0.781000554561615	1.0	prompt1	0.3	43.525197630019605	4.0	prompt1	0.75	0.7349088788032532
123	1.0	prompt3	0.15	0.8864555358886719	1.0	prompt3	0.15	60.2469086305971	1.0	prompt3	0.15	0.9266742467880249
124	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9866815805435181
125	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9891265630722046
126	1.0	prompt3	0.15	0.7587573528289795	1.0	prompt3	0.15	62.06647041588435	1.0	prompt3	0.15	0.8396087884902954
127	1.0	prompt3	0.15	0.9999998807907104	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9898729920387268
